ID,Filiere,Module,Note_sur_20,Statut_MA,score_risque,categorie_risque,profil_apprenant,action_recommandee
213141,EEE,رياضيات 2,7.6,Non_Validé,0.999422927488044,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
213141,EEE,لغة انكليزية 1,7.4,Non_Validé,0.9994229274141828,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
213116,EEE,مبادئ حواسيب,8.4,Non_Validé,0.9994229266192924,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
213077,EEE,مبادئ حواسيب,1.4,Absent,0.9994229258969259,CRITIQUE,En_Difficulté,Tutorat individuel + Convocation conseiller pédagogique
211009,EEC,الفيزياء العامة,6.8,Non_Validé,0.9994229251977668,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
213026,EEE,رياضيات 1,7.0,Non_Validé,0.9994229251298432,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
203183,EEE,ميكانيك هندسي,5.4,Non_Validé,0.9994229251043611,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
213141,EEE,الفيزياء الحديثة,8.0,Non_Validé,0.9994229250472216,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
216139,EED,ميكانيك هندسي,1.4,Non_Validé,0.9994229249562581,CRITIQUE,En_Difficulté,Tutorat individuel + Convocation conseiller pédagogique
213116,EEE,الفيزياء الحديثة,8.8,Non_Validé,0.9994229248516122,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
213116,EEE,الفيزياء العامة,7.6,Non_Validé,0.9994229246105257,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
215163,EEA,رياضيات 1,6.6,Non_Validé,0.9994229242799296,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
206156,EED,ميكانيك هندسي,4.0,Non_Validé,0.9994229237624015,CRITIQUE,En_Difficulté,Tutorat individuel + Convocation conseiller pédagogique
213118,EEE,لغة انكليزية 1,6.8,Non_Validé,0.9994229235429222,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
216162,EED,ميكانيك هندسي,10.0,Non_Validé,0.9994229231442178,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
217154,EEP,لغة انكليزية 1,5.8,Non_Validé,0.9994229227599913,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
214018,EEM,الفيزياء العامة,7.2,Non_Validé,0.99942292265142,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
216088,EED,الفيزياء العامة,7.0,Non_Validé,0.9994229226201222,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
207004,EEP,مبادئ الهندسة الكهربائية,7.0,Non_Validé,0.9994229225845818,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
216007,EED,الفيزياء العامة,3.6,Non_Validé,0.9994229225272573,CRITIQUE,En_Difficulté,Tutorat individuel + Convocation conseiller pédagogique
213116,EEE,رياضيات 1,9.0,Non_Validé,0.9994229223915012,CRITIQUE,En_Progression,Tutorat individuel + Convocation conseiller pédagogique
