Module,score_risque_moy,nb_etudiants,moyenne_module,rang_priorite,tuteurs_recommandes,heures_td_soutien
الدارات الالكترونية,0.9994228526400887,3,11.533333333333333,1,1,2
ميكانيك هندسي,0.9994228401684011,733,7.279945429740791,2,48,96
رياضيات 1,0.9994228266847895,918,7.318954248366013,3,61,122
الفيزياء العامة,0.9994228245727589,903,7.347508305647841,4,60,120
الهندسة الكهربائية,0.9994228153118183,1,11.4,5,1,2
الفيزياء الحديثة,0.9994228005819988,578,7.319377162629759,6,38,76
هندسة إلكترونية,0.9994227979713308,18,9.11111111111111,7,1,2
رياضيات 2,0.9994227971570628,991,7.289808274470232,8,66,132
لغة انكليزية 1,0.9994227957761403,406,6.308374384236454,9,27,54
لغة انكليزية 2,0.9994227827423646,382,5.956020942408378,10,25,50
اللغة العربية,0.9994227683359512,503,7.374155069582504,11,33,66
مبادئ الهندسة الكهربائية,0.9994227577229339,834,7.230695443645083,12,55,110
حقول الكهرومغناطيسية,0.9994227441147392,33,7.418181818181819,13,2,4
مبادئ حواسيب,0.9994227300908608,551,7.243920145190563,14,36,72
هندسة ميكانيكية 1,0.9994227252460207,96,4.497916666666667,15,6,12
هندسة ميكانيكية ,0.9994227110485627,31,2.6838709677419357,16,2,4
هندسة ميكانيكية 2,0.9994227047349868,123,5.772357723577236,17,8,16
رياضيات 4,0.999422696348667,345,4.826666666666667,18,23,46
الكيمياء الصناعية,0.9994226847837019,557,7.3238779174147215,19,37,74
الثقافة القومية الاشتراكية,0.9994226760068371,257,6.329182879377432,20,17,34
الهندسة الالكترونية 1,0.9994226731020175,77,6.8441558441558445,21,5,10
رياضيات 3,0.9994226513238438,540,4.796666666666666,22,36,72
الرسم الهندسي,0.9994225476829128,237,5.272573839662447,23,15,30
الهندسة الإلكترونية 2,0.999422428689301,83,5.751807228915663,24,5,10
الحقول الكهرومغناطيسية,0.9994224149780382,159,5.611320754716981,25,10,20
نظرية الدارات الكهربائية 2,0.9994223393850991,114,5.991228070175438,26,7,14
اللغة الانكليزية 4,0.9994222519978744,301,5.288372093023256,27,20,40
القياسات الإلكترونية,0.9994222208147575,15,7.386666666666667,28,1,2
هندسة الكترونية 2,0.9994221894231673,205,6.293658536585366,29,13,26
التحليل الرياضي,0.9994221765635538,133,5.3278195488721805,30,8,16
الجبر الخطي,0.9994221700319914,146,7.716438356164383,31,9,18
الورش الكهربائية والالكترونية,0.9994221577231936,78,5.125641025641026,32,5,10
اللغة الانكليزية 3,0.9994220784371497,560,6.391071428571428,33,37,74
الآلات الكهربائية,0.9994220348113203,51,6.32156862745098,34,3,6
برمجة وتطبيقاتها,0.9994220332380924,31,7.070967741935483,35,2,4
إشارات ونظم,0.999421994430851,98,7.118367346938776,36,6,12
تكنولوجيا المواد الكهربائية,0.9994219285989321,510,4.455294117647059,37,34,68
برمجيات متقدمة في نظم التحكم 2,0.9994219088651753,76,5.405263157894737,38,5,10
الهندسة الميكانيكية,0.999421856172323,33,3.2606060606060603,39,2,4
دارات الإلكترونية,0.999421770677002,13,6.492307692307692,40,1,2
تحكم حديث 1,0.9994217533125743,41,6.619512195121951,41,2,4
نظرية الحقول الكهرطيسية,0.9994217503286448,277,6.246209386281588,42,18,36
اللغة الفرنسية 3,0.9994216597579648,1,0.0,43,1,2
الجبر المنطقي,0.9994216400854136,31,7.567741935483871,44,2,4
هندسة الكترونية 1,0.999421553243493,150,6.4559999999999995,45,10,20
برمجيات متقدمة في نظم التحكم 1,0.999421547543453,128,5.4734375,46,8,16
نظرية الدارات الكهربائية,0.999421451952841,879,7.0059158134243456,47,58,116
دارات الكترونية,0.9994212724421437,41,6.536585365853658,48,2,4
هندسة ميكانيكية,0.9994211582843568,125,5.4672,49,8,16
هندسة الكترونية,0.9994209652142055,125,4.9168,50,8,16
القياسات الكهربائية وأجهزة القياس,0.9994209561954555,108,6.014814814814815,51,7,14
لغات برمجة,0.9994205533225439,64,7.04375,52,4,8
برمجة منطقية,0.999420547863363,64,8.509375,53,4,8
نظرية الدارات الكهربائية 1,0.9994204152513206,130,4.887692307692308,54,8,16
لغة انكليزية 4,0.9994202453100317,9,3.355555555555556,55,1,2
الأمن الصناعي والاقتصاد الهندسي,0.9994200456957812,179,4.729608938547486,56,11,22
